outer_fold,model,trial_number,inner_cv_mean_mae,state,parameters_json
1,ridge,0,14.382496680149695,COMPLETE,"{""alpha"": 32.382294941038815}"
1,ridge,1,28.953427989508594,COMPLETE,"{""alpha"": 0.6152302471208801}"
1,ridge,2,19.299673076439056,COMPLETE,"{""alpha"": 1.9051252256614937}"
1,ridge,3,13.494710649481016,COMPLETE,"{""alpha"": 14.533059910058286}"
1,ridge,4,68.9887107885088,COMPLETE,"{""alpha"": 0.009986675452148243}"
1,ridge,5,82.45866270549448,COMPLETE,"{""alpha"": 0.004327840907072701}"
1,ridge,6,13.73333860191261,COMPLETE,"{""alpha"": 7.197729750830389}"
1,ridge,7,44.01118378625263,COMPLETE,"{""alpha"": 0.14502496217624397}"
1,ridge,8,49.0226657271128,COMPLETE,"{""alpha"": 0.0844133536050204}"
1,ridge,9,13.508275745128746,COMPLETE,"{""alpha"": 8.283556719419314}"
1,ridge,10,117.79466396268417,COMPLETE,"{""alpha"": 0.0010355544434250557}"
1,ridge,11,16.08555106827197,COMPLETE,"{""alpha"": 92.30629139373475}"
1,ridge,12,13.377436497043533,COMPLETE,"{""alpha"": 11.42931240649801}"
1,ridge,13,13.368279878683712,COMPLETE,"{""alpha"": 10.931199937806662}"
1,ridge,14,19.0794318069897,COMPLETE,"{""alpha"": 1.9687207547168755}"
1,ridge,15,15.70321149284834,COMPLETE,"{""alpha"": 74.01441831443279}"
1,ridge,16,19.730226289348458,COMPLETE,"{""alpha"": 1.7891647519796126}"
1,ridge,17,33.22665559677309,COMPLETE,"{""alpha"": 0.40919476352198364}"
1,ridge,18,13.843581188831067,COMPLETE,"{""alpha"": 21.34991429026749}"
1,ridge,19,15.330299950500825,COMPLETE,"{""alpha"": 4.11163807002025}"
1,random_forest,0,15.177751654504442,COMPLETE,"{""max_depth"": 9, ""max_features"": 0.7119690078210117, ""min_samples_leaf"": 4, ""n_estimators"": 200}"
1,random_forest,1,17.156483516483522,COMPLETE,"{""max_depth"": 18, ""max_features"": 0.5043919782617184, ""min_samples_leaf"": 1, ""n_estimators"": 175}"
1,random_forest,2,14.708944825600316,COMPLETE,"{""max_depth"": 6, ""max_features"": 0.5282852054468927, ""min_samples_leaf"": 8, ""n_estimators"": 100}"
1,random_forest,3,14.976905660889368,COMPLETE,"{""max_depth"": 8, ""max_features"": 0.5352883484328999, ""min_samples_leaf"": 5, ""n_estimators"": 75}"
1,random_forest,4,15.191450983936615,COMPLETE,"{""max_depth"": 9, ""max_features"": 0.5462965536509846, ""min_samples_leaf"": 3, ""n_estimators"": 175}"
